//Index   Message
421       "Comecou o periodo de preparacao para o Castle Siege"
422       "Castle Siege comecara em %d minuto(s)"
423       "Castle Siege esta em andamento"
424       "A Guild %s defendeu o castelo com sucesso"
425       "A Guild %s se tornou a nova dona do castelo"
426       "O dono do castelo nao foi definido"
427       "Resta apenas a Estatua do Guardiao"
432       "A posicao do jogador %s mudou para Assistente do Lider"
433       "A posicao do jogador %s mudou para Battle Master"
434       "A posicao do jogador %s mudou para Membro da Guild"
435       "O tipo da Guild %s foi alterado para %d"
436       "A Guild entrou na alianca %s"
437       "A Guild agora e inimiga da Guild %s"
438       "A Guild %s tem alianca com %s"
439       "A Guild saiu da alianca"
440       "A Guild %s saiu da alianca %s"
441       "A Guild nao esta mais na Guild %s"
442       "A Guild nao e mais hostil a Guild %s"
443       "A alianca %s foi desfeita"
448       "Voce nao pode invocar a Pedra da Vida fora do Castle Siege"
449       "Somente a alianca ofensiva pode invocar a Pedra da Vida"
450       "Uma Pedra da Vida ja foi invocada"
451       "Voce nao pode invocar a Pedra da Vida dentro da Torre do Dragao"
452       "A Pedra da Vida foi invocada com sucesso"
453       "A Pedra da Vida nao pode ser invocada"
464       "Voce nao pode invocar soldado fora do Castle Siege"
465       "Somente a alianca defensiva pode invocar soldado"
466       "Somente o lider da Guild e seu assistente podem invocar soldado"
467       "Numero maximo de soldados excedido"
468       "Soldado invocado com sucesso"
469       "O soldado nao pode ser invocado"
480       "Servidor fechado"
481       "O servidor fechara automaticamente em %d segundo(s)"
482       "Este e um item duplicado. Entre em contato com o administrador"
483       "Seu bloqueio de chat terminou"
484       "Voce saira do jogo em %d segundo(s)"
485       "Defesa propria iniciada contra %s"
486       "Defesa propria contra %s terminou"
487       "O servidor desligara automaticamente em 1 minuto"
488       "O servidor desligara automaticamente em 3 minutos"
489       "O servidor desligara automaticamente em 5 minutos"
490       "A partida iniciara automaticamente em 10 segundo(s)"
491       "%s ganhou %d Jewel of Bless"
492       "%s matou Phoenix"
493       "Voce ganhou %d pontos de evento e %d Gold"
494       "%s matou um Golden"
495       "Voce ganhou %d pontos de evento e %d Gold"
496       "%s matou Erohim"
497       "Voce ganhou %d ponto(s) de evento e %d Gold"
498       ""
499       "Remova os erros antes de colocar"
500       "[Rei do MU] O evento comecou"
501       "[Rei do MU] O evento terminou"
502       "[Rei do MU] Comeca em %d minuto(s)"
503       "[Rei do MU] A Guild %s tomou o castelo!"
504       "[Rei do MU] Comeca em %d segundo(s)"
505       ""
506       "Voce nao e membro de uma Guild!"
507       "Sua Guild ja e dona do castelo!"
508       "Voce nao esta na coordenada correta!"
509       "Sua Guild precisa ter pelo menos %d membros!"
510       "Parabens, sua Guild agora e dona do castelo!"
511       "[Rei do MU] Termina em %d minuto(s)!"
512       ""
513       "Inventario limpo com sucesso!"
514       "Bem-vindo ao servidor"
515       "%s matou %s"
516       "%s matou %s"
517       ""
518       "Voce nao tem permissao para usar /setvip"
519       "VIP adicionado com sucesso!"
520       "Esta conta nao existe!"
521       "%s voce nao precisa mais da minha ajuda"
522       "%s Seu plano VIP nao permite usar este beneficio"
523       "%s Zen necessario: %d"
524       "%s PCPoint necessario: %d"
525       "%s Voce precisa estar na familia Vanert"
526       "%s Voce precisa estar na familia Duprian"
527       "%s Voce precisa estar na familia Duprian"
528       "%s Voce precisa estar na familia Vanert"
529       "%s Pontos de familia necessarios: %d"
530       "%s Tempo: %d minuto(s)"
531       "%s Removido %d Zen"
532       "%s Removido %d PCPoint(s)"
533       "%s Buff aplicado!"
602       "Voce nao pode casar consigo mesmo!"
603       "Voce acabou de se casar com %s!"
604       "Voce ja esta casado!"
605       "O outro personagem ja esta casado!"
606       "Uso: [/marry to nome | /marry divorce | /marry track ou trace]!"
607       "Voce nao pode se divorciar na primeira semana de casamento!"
608       "Voce acabou de se divorciar!"
609       "Voce nao esta casado!"
610       "Voce rastreou!"
611       "Voce rastreou!"
612       "%s acabou de se casar com %s!"
613       "%s acabou de se divorciar de %s!"
614       "[Sistema de casamento] Parabens,"
615       "entre %s e %s!"
616       "[Sistema de casamento] Acao nao permitida"
617       "Voce precisa ter pelo menos nivel %d para usar este comando!"
618       "Ele/Ela precisa ter pelo menos nivel %d para usar este comando!"
619       "O sistema de casamento esta desabilitado!"
620       "Voce precisa ter pelo menos %d zen para usar este comando!"
621       "Voce precisa estar na posicao correta em Devias2!"
622       "Seu alvo precisa estar na posicao correta em Devias2!"
623       "Informacao: [Nivel minimo: %d | Custo de track/trace: %d zen]!"
624       "Voce nao pode se divorciar enquanto ele/ela estiver offline!"
625       "O outro personagem esta offline!"
626       "Skin %d aplicada a %d jogadores!"
627       "O personagem %s esta offline!"
628       ""
629       "Requer nivel %d para excluir o personagem %s"
630       "Voce precisa estar no nivel %d para usar este comando!"
631       "Permitido usar somente dentro da cidade!"
632       "Voce e seu oponente precisam estar no nivel %d para duelo!"
633       "Comando nao habilitado para sua conta!"
634       "Comando: [/classe dw, dk, elf, mg, dl, su]"
635       "Voce precisa escolher uma classe diferente da sua!"
636       "Voce precisa remover os itens do personagem primeiro!"
637       "Classe indisponivel!"
638       "Resets necessarios: %d!"
639       "[GameMaster] %s esta online!"
640       "%s esta online!"
641       "Voce nao tem permissao para usar!"
642       "Personagem nao encontrado!"
643       "Comando: [/premiar CHAR TIPO VALOR]"
644       "Tipo de premio indisponivel!"
645       "Quantidade de premio maior que o permitido!"
646       "Premio adicionado com sucesso!"
647       "Voce nao pode premiar a si mesmo!"
648       "Comando: [/reload tipo | Ex: /reload common]"
649       "Reload executado com sucesso!"
650       "Comando: [/premiarall TIPO VALOR]"
651       "O nome deve ter no maximo 10 letras."
652       "Este nome ja existe."
653       "Aguarde %d segundos para usar novamente."
654       "Esse nome ja existe!"
655       "Nome alterado com sucesso!"
656       "Nome nao alterado!"
657       "O personagem %s mudou o nome para %s!"
658       "Voce precisa sair da Guild para trocar o nome."
659       "Voce nao pode usar isso agora"
660       "[CORRIDA] comecou em %s!"
661       "O evento [CORRIDA] termina em %d minuto(s)!"
662       "O evento [CORRIDA] termina em %d segundo(s)!"
663       "[CORRIDA] Vencedor: %s!"
664       "[CORRIDA] Fim do evento - sem vencedor!"
665       "[CORRIDA] Corra para as coordenadas x %d y %d"
666       "[CORRIDA] Fim do evento - evento cancelado!"
667       "Erro ao banir!"
668       "Conta banida com sucesso!"
669       "Personagem removido com sucesso!"
670       "[EVENTO] fecha em %d segundo(s)"
671       "[EVENTO] Tempo para participar acabou!"
672       "[EVENTO] Cancelado!"
673       "[EVENTO] %s iniciou um evento!"
674       "[EVENTO] Digite /participar para entrar!"
675       "[EVENTO] Participante %s adicionado!"
676       "[ESCESC] Termina em %d segundo(s)"
677       "[ESCESC] Terminou sem vencedor!"
678       "[ESCESC] Cancelado!"
679       "[ESCESC] %s iniciou o evento!"
680       "[ESCESC] Procure o GM e troque!"
681       "[ESCESC] %s ganhou o evento!"
682       "[ESCESC] O evento termina em %d minuto(s)!"
683       "[PEGAPEGA] Fechado!"
684       "[PEGAPEGA] Evento iniciado. Teleporte negado!"
685       "[PEGAPEGA] O tempo esta acabando!"
686       "[PEGAPEGA] Cancelado!"
687       "[PEGAPEGA] Aberto!"
688       "[PEGAPEGA] Digite /participar para entrar!"
689       "[PEGAPEGA] Participante %s adicionado!"
690       "[PEGAPEGA] %s ganhou o evento!"
691       "[PEGAPEGA] %s foi pego!"
692       "[QUEST %d] Voce precisa estar no nivel %d ou mais!"
693       "[QUEST %d] Voce precisa ter %d reset(s) ou mais!"
694       "[QUEST %d] Voce precisa ter %d master reset(s) ou mais!"
695       "[QUEST %d] Voce precisa ter %d zen ou mais!"
696       "[QUEST %d] Voce precisa ir para %s (x %d, y %d)!"
697       "[QUEST %d] Voce nao tem o plano VIP necessario!"
698       "[QUEST %d] Item necessario: %s!"
699       "[QUEST %d] Voce precisa matar %d %s (Faltam: %d)!"
700       "[QUEST] Parabens, voce completou todas as missoes!"
701       "[QUEST %d] Pronto! Voce ganhou: %d WC, %d WP, %d GP!"
702       "Parabens, voce recebeu um presente!"
703       "Voce ja recebeu todos os seus presentes!"
704       "[RoletaRussa] Fechado!"
705       "[RoletaRussa] Evento iniciado!"
706       "[RoletaRussa] O tempo esta acabando!"
707       "[RoletaRussa] Cancelado!"
708       "[RoletaRussa] Aberto (Max participantes: %d)!"
709       "[RoletaRussa] Digite /participar para entrar!"
710       "[RoletaRussa] Participante %d: %s adicionado!"
711       "[RoletaRussa] %s ganhou o evento!"
712       "[RoletaRussa] Colocando a bala no tambor...!"
713       "[RoletaRussa] Girando o tambor...!"
714       "[RoletaRussa] Engatilhando...!"
715       "[RoletaRussa] FOGO!"
716       "[RoletaRussa] HeadShot! %s foi eliminado!"
717       "[RoletaRussa] %s escapou ileso!"
718       "[Rei do MU] Entrega dos premios!"
719       "[Rei do MU] A Guild %s ganhou o evento!"
720       "[Rei do MU] Tempo como dona: %d minuto(s)!"
721       "[Rei do MU] Todos os membros online da Guild ganharam:"
722       "[Rei do MU] 10 WC!"
723       "[Rei do MU] Personagens que mais conquistaram:"
724       "[Rei do MU] %d: %s (Guild: %s)!"
725       "[Rei do MU] Cada um ganhou 10 WC!"
726       "[Rei do MU] Nao houve vencedor!"
730       "Adicionado %d WC a sua conta!"
731       "Adicionado %d WP a sua conta!"
732       "Adicionado %d GP a sua conta!"
733       "Comando: [/top tipo classe | Ex: /top rr dk]"
734       "Comando: [Classe: dk, dw, fe, mg, dl, su]"
735       "Sem resultados!"
736       "%d Set: %s ( %d)"
737       "Pontos redistribuidos"
738       "%s alcancou a patente %s!"
739       "Voce alcancou a patente %s!"
740       "Estava desabilitado =("
741       "Voce precisa ter 64 unidades do mesmo tipo no inventario"
742       "Muito obrigado, recolhi os itens e entreguei seu premio"
743       "Desculpe, nao estou interessado nesses itens"
744       "Voce trocou seus itens por premios!"
745       "[%s] Inicia em %d minuto(s)!"
746       "[%s] Pergunta: (Use /resp para responder)"
747       "[%s] %s"
748       "[%s] %s ganhou o evento!"
749       "[%s] Nao houve vencedor!"
750       "[%s] Resposta incorreta!"
751       "[%s] Resposta: %s"
752       "[PickUp %s] Habilitado!"
753       "[PickUp %s] Desabilitado!"
754       "[PickUp] Desativado!"
755       "[ReMaster] MasterSkillTree resetada!"
756       "[ReMaster] Erro ao resetar MasterSkillTree!"
757       "[BuyVip] Voce nao tem o valor necessario para comprar!"
758       "[BuyVip] Parabens, voce assinou o plano %s!"
759       "[BuyVip] O plano escolhido e menor que seu plano atual!"
760       "Descontado %d WC da sua conta!"
761       "Descontado %d WP da sua conta!"
762       "Descontado %d GP da sua conta!"
763       "Voce nao pode usar ataque personalizado com MuHelper ativo!"
764       "Voce nao pode usar MuHelper com ataque personalizado ativo!"
765       "Nao pode ser usado acima do nivel: %d"
766       "Valor para usar: %d WC!"
767       "Valor para usar: %d WP!"
768       "Valor para usar: %d GP!"
769       "O time da Alianca venceu o evento!"
770       "O time Phantom venceu o evento!"
771       "[OffPvp] Habilitado"
772       "[OffPvp] Desligado"
773       "[Bloqueio] Habilitado - Itens bloqueados!"
774       "[Bloqueio] A senha deve conter no maximo 8 caracteres!"
775       "[Bloqueio] Ja ativado, use /desbloquear para desbloquear!"
776       "[Bloqueio] Desligado!"
777       "[Bloqueio] Senha invalida!"
778       "[Bloqueio] Acao bloqueada por senha!"
779       "Voce so pode ativar o comando em zona segura"
780       "A loja pessoal esta vazia ou os itens nao tem preco"
781       "ATENCAO! Todos os itens desta loja sao vendidos por Jewel of Bless"
782       "ATENCAO! Todos os itens desta loja sao vendidos por Jewel of Soul"
783       "ATENCAO! Todos os itens desta loja sao vendidos por Jewel of Chaos"
784       "ATENCAO! Todos os itens desta loja sao vendidos por WCoinC"
785       "ATENCAO! Todos os itens desta loja sao vendidos por WCoinP"
786       "ATENCAO! Todos os itens desta loja sao vendidos por Goblin Point"
787       "Voce precisa abrir a Loja Pessoal antes"
788       "O comando sera executado por %d minuto(s)"
789       "Tempo de uso da loja expirou"
790       "[Ataque] Desabilitado"
791       "[Ataque] Voce nao pode usar neste local"
792       "[Ataque] Voce nao tem a habilidade necessaria para usar"
793       "[Ataque] Tempo de uso: %d minuto(s)"
794       "[Ataque] Tempo"
795       "[Ataque] Habilitado"
796       "[OffAttack] Voce precisa habilitar /attack antes"
797       "[OffAttack] Voce nao pode usar neste local"
798       "Esta Guild nao existe!"
799       "[PvP] O tempo esta acabando!"
800       "[PvP] Cancelado!"
801       "[PvP] %s x %s comecou!"
802       "[PvP] %s %d x %d %s!"
803       "[PvP] %s ganhou o evento!"
804       "[PvP] Comecou!"
805       "[MataMata] Fechado!"
806       "[MataMata] Evento iniciado!"
807       "[MataMata] O tempo esta acabando!"
808       "[MataMata] Cancelado!"
809       "[MataMata] Aberto (Max participantes: %d)!"
810       "[MataMata] Digite /participar para entrar!"
811       "[MataMata] Jogador %d: %s adicionado!"
812       "[MataMata] 1o - %s (%d pontos)!"
813       "[MataMata] 2o - %s (%d pontos)!"
814       "[MataMata] 3o - %s (%d pontos)!"
815       "[MataMata] Sua posicao: %d (%d pontos)!"
816       "Pontuacao [MataMata]: %d pontos!"
817       "O novo nome contem texto nao permitido!"
818       "Necessario: %d master reset(s)"
819       "Nao permitido com %d master ou mais"
820       "Comando: [/pack (soul, bless, etc.) (10,20,30)]"
821       "Comando: [/unpack (soul, bless, etc.) (10,20,30)]"
822       "Voce nao tem os itens necessarios"
823       "Comando concluido com sucesso."
824       "Voce nao tem espaco no inventario"
825       "[TvTEvent] fecha em %d minuto(s)"
826       "Entrada para o evento Time vs Time"
827       "[TvTEvent] Fechado!"
828       "[TvTEvent] Comeca em %d minuto(s)"
829       "[TvTEvent] Comecou!"
830       "[TvTEvent] Terminou!"
831       "[TvTEvent] Voce nao pode entrar!"
832       "[TvTEvent] Nao esta aberto!"
833       "[TvTEvent] Voce nao tem o item necessario para entrar!"
834       "Voce nao tem o valor necessario para comprar!"
835       "Nao permitido no trade!"
836       "Descontado %d Zen por usar o comando!"
837       "Valor para usar: %d WC, %d WP, %d GP!"
838       "Digite o comando novamente se quiser usar!"
839       "Outro membro da Guild esta com o bau aberto!"
840       "Voce nao pode usar o bau da Guild!"
841       "%s baniu o personagem %s por %d dias!"
842       "%s baniu a conta do personagem %s por %d dias!"
843       "Uso de [AntiHack] SpeedHack detectado!"
844       "[Trade] Valor necessario: %d Zen!"
845       "[Trade] Valor necessario: %d WC!"
846       "[Trade] Valor necessario: %d WP!"
847       "[Trade] Valor necessario: %d GP!"
848       "[Trade] %s nao tem o valor necessario!"
849       "[QUEST %d] Necessario %d Cash para realizar!"
850       "[QUEST %d] Necessario %d Gold para realizar!"
851       "[QUEST %d] Necessario %d PcPoint para realizar!"
852       "[QUEST %d] Sem espaco no inventario para receber o premio!"
853       "[QUEST %d] O beneficio ja esta ativo, faca a quest mais tarde!"
854       "Faltam %d monstros para completar a missao!"
855       "Missao concluida!"
856       "[QUEST %d] Voce nao tem a patente necessaria!"
857       "[QUEST %d] Necessario %d kill(s) para continuar!"
858       "Sala inicial, saindo em %d segundo(s)"
859       "Voce nao pode acessar esta sala! Saindo em %d segundo(s)"
860       "[QUEST] Parabens, voce ja completou esta missao!"
